List of Changed Files,List of Commits
"tools/src/main/java/org/apache/pdfbox/tools/DecompressObjectstreams.java
tools/src/main/java/org/apache/pdfbox/tools/Decrypt.java
tools/src/main/java/org/apache/pdfbox/tools/Encrypt.java
tools/src/main/java/org/apache/pdfbox/tools/ExportFDF.java","1.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
2.37d061dd49ee4465ecaf23b691672a7524d48c53
3.5443c8a4cf0a9d3e8df45b96671ea43f140af129
4.5546a3c7f8cd7d9995bfba7ee27a114973564042
5.88b69fa28ce23ea1f530838182255694e44ed9cb
6.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
7.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
8.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
9.f83921dd0a50642c2d9f89af1584ea170ca4e742"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType4.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType5.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType6.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType7.java","1.172ac3e26112f6ac89bea5fb2e9ab346e1bdccba
2.28dc3413c30592f0d1c3d719f7f2f5f70d026849
3.3622975d7a4b786419908e0a43095c880fba81ab
4.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
5.99ec3d83b8c357a14887ca0f381c140ec87cfcb2
6.dd8d976c1099248a832eba7362a9af966c1b8fb1
7.ddd80ef9a74c458446153816909e8563eaa37545
8.e90b89f24498a065be30ea67d97b7a410ea7e804"
"fontbox/src/main/java/org/apache/fontbox/ttf/GlyphTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HeaderTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalHeaderTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalMetricsTable.java","1.0faacab9509fa0c2b407f8efb4ef018ef7bdd499
2.1525dcf9886f8964b8fbaec4a55ac8a37751d6be
3.4e2471f8de2d0c9dcb07ee5c32c1253dda7125dc
4.73d8c8543e27261c85a40a7ce4b8b94f3980e1dd
5.7a35c1a2414fd092aa627e1dc37fe01960997e02
6.84d34938609ea71c5f1cbde2ce45a03370ceaa69
7.b0e9c528bae2527684464b4985bb66a6982e0a72"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type1ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type4ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type4ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type5ShadingContext.java","1.493ca599868ef0a1b8bbe8d19d102282bef95ebf
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.b242c0bde7a7544407eb9119f7465ddcf476ea1e
4.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3
5.dd8d976c1099248a832eba7362a9af966c1b8fb1
6.e90b89f24498a065be30ea67d97b7a410ea7e804
7.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/CIDType0DescriptorHelper.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/CIDType2DescriptorHelper.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/FontDescriptorHelper.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/TrueTypeDescriptorHelper.java","1.2fbc31fff0d88348ea604213eb43c8006f46a760
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.d4a90eaa4f43b37f99657d08107d1c7514bd6a8e
5.e35a9312caee420e818ad06a6134664fd86faa34
6.e52d346adfa24ac83ec71d79c02d67e14434b1a4
7.ebadf384b91923b98d8fc88e5ee3c10b01b15ea8"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDSimpleFont.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFontEmbedder.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDType0Font.java","1.13a6761351ceac5e1408a551dfa9017680a9a457
2.2183b766646fa9936cf643e3dcdf1f57daa5cd12
3.46d4deab114d1a1d9b2302129cc30c24351b4706
4.bd46b391bd0f662b7fa2ee746efe1e340c7b6190
5.c408b2f6d6361f3c67bbb4b4456bd1702c8199d2
6.d4a90eaa4f43b37f99657d08107d1c7514bd6a8e"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationFreeText.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationHighlight.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationInk.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/PDAnnotationLine.java","1.0be1105934a14054e9bf36c38d12f24072ca0025
2.52554d653859b3676a37075668fe3a8d713ae2bf
3.5a6e76ffa659df1d5e8020caca86228752dcfae3
4.7dde00ec2a04280b7793e2547fd43b313ba382bf
5.e23975a98935551426b8db241ea83d26a413d4ee
6.ee31669eb0a2e539ca14354a2b3789d6d1a53678"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDListBox.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDNonTerminalField.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDRadioButton.java","1.000c7c7f3b260db34f92179b1ffc3442e9124fa7
2.44dfb753eeb252112ff0619355df4809718e3f39
3.564f6da02515b186c0ebbea2fef26e7c5fd28b7b
4.8134a67bd23b7f2c871a54577006c1b32583b8fa
5.8598a3053f9060b63506946dbb0052166b304546
6.b228353812aeaa4b7b150ddccc1604f76d3e3b87"
"pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestFDF.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocument.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocumentCatalog.java
pdfbox/src/test/java/org/apache/pdfbox/pdmodel/TestPDDocumentInformation.java","1.18ef6491e301ef19559cd4c32a511b39a3f398ee
2.5546a3c7f8cd7d9995bfba7ee27a114973564042
3.6a07dac3fb764a9f047667dc47453eced8259d1e
4.7824e890826a4623ca34c837fcdc79420f34cd38
5.d859a6e7d0485ea326133d0a78d21b47415f28e6
6.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDHighlightAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDInkAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLineAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java","1.1cf078be2456e8cba9ba36ec92976c738d3e790d
2.b5ba2d8b9b57d4627dcdd7e28318584be4c44921
3.bf1a0637a7f6539cc78b139a66ff48c77fe00c61
4.c5a904c02bdc00d64d24dfb14e8734f3d27d4466
5.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3"
"preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestForbiddenAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestGotoAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestGotoRemoteAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestHideAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.90cd3190ea8f3c4d99636693df7e1e998bf8c1bf
3.91bb9040f078f1511e045e2ab93316a55d9e4066
4.a1813d985ac93c52ee36120044bba0f3486a1318
5.e9a7fcbc94d2327a8107d588b92a62c6d4fa9d31"
"preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestNamedAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestSubmitAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestThreadAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestUriAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.90cd3190ea8f3c4d99636693df7e1e998bf8c1bf
3.91bb9040f078f1511e045e2ab93316a55d9e4066
4.a1813d985ac93c52ee36120044bba0f3486a1318
5.e9a7fcbc94d2327a8107d588b92a62c6d4fa9d31"
"xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XMPBasicTest.java
xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XMPMediaManagementTest.java
xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XMPSchemaTest.java
xmpbox/src/test/java/org/apache/padaf/xmpbox/schema/XmpRightsSchemaTest.java","1.2a891ae3e5027e601d6ab84376581b0f22153401
2.58a6872e296635d44b9ecddae85c50984c3a794e
3.711c4f2339022e6788a7ac86df5cd7c54d1fcdab
4.b46f2a70aa22a4001a42cd08a7a918c07d406406
5.e8421fc0e4c8bf55cab57b67b996f4ad10fa8ea5"
"pdfbox/src/main/java/org/apache/pdfbox/cos/COSArray.java
pdfbox/src/main/java/org/apache/pdfbox/cos/COSBase.java
pdfbox/src/main/java/org/apache/pdfbox/cos/COSBoolean.java
pdfbox/src/main/java/org/apache/pdfbox/cos/COSDictionary.java","1.01c6698a401ab976d37397fdf6ce5eeb90d7dd83
2.0e502474ef7c4f956e6e170296d85213eedb92fb
3.200b100383815e85366e2b06caa6ab62c2430633
4.d229cf345b3499c7818a0045b7db0aed8a01465d"
"pdfbox/src/main/java/org/apache/pdfbox/multipdf/LayerUtility.java
pdfbox/src/main/java/org/apache/pdfbox/multipdf/Overlay.java
pdfbox/src/main/java/org/apache/pdfbox/multipdf/PDFCloneUtility.java
pdfbox/src/main/java/org/apache/pdfbox/multipdf/PDFMergerUtility.java","1.245065766a683e37b48f68a979bf975cc726ce9a
2.649c34530ac7715663f79232e5ca85da12ce4013
3.9c2bebe7d0957fafbef35c400ea1711b965ee4b3
4.de1ba9422680e95b160af2789a8d70a5f3bda756"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type5ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type7ShadingContext.java","1.4c3253c8ac6d55f0834cf41be3566248e57867d4
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.b242c0bde7a7544407eb9119f7465ddcf476ea1e
4.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveTo.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateFinalPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateInitialPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/EndPath.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddRule.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroRule.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/Invoke.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/LineTo.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/MoveTo.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/SHFill.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"preflight/src/main/java/org/apache/pdfbox/preflight/action/SubmitAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/ThreadAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/UndefAction.java
preflight/src/main/java/org/apache/pdfbox/preflight/action/UriAction.java","1.09ddf9ac25cf0bd7037a10f9f82abe65ff28dae1
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.8ef145c78640974fccbc665cd8e5225a0c9ee326
4.a1813d985ac93c52ee36120044bba0f3486a1318"
"preflight/src/main/java/org/apache/pdfbox/preflight/annotation/LinkAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/MarkupAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/PopupAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/PrintMarkAnnotationValidator.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.8ef145c78640974fccbc665cd8e5225a0c9ee326
3.9727dd884ae6068195cc51cd407c3325f0b5aab9
4.a1813d985ac93c52ee36120044bba0f3486a1318"
"preflight/src/main/java/org/apache/pdfbox/preflight/font/container/TrueTypeContainer.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/Type0Container.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/Type1Container.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/container/Type3Container.java","1.23f6715bc9563483c0c48afcacfd7ee68cfd8a5c
2.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
3.a1813d985ac93c52ee36120044bba0f3486a1318
4.e52d346adfa24ac83ec71d79c02d67e14434b1a4"
"src/org/pdfbox/util/operator/SetNonStrokingGrayColor.java
src/org/pdfbox/util/operator/SetNonStrokingRGBColor.java
src/org/pdfbox/util/operator/SetStrokingCMYKColor.java
src/org/pdfbox/util/operator/SetStrokingColorSpace.java","1.0043363995339865503811c70dd991b57c06b3cf
2.623a0af37723377676f57213cf74b1a909c23272
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.d8915013d5466c6b6a5e2584bcc64e8ce469be7d"
"src/org/pdfbox/util/operator/pagedrawer/FillNonZeroRule.java
src/org/pdfbox/util/operator/pagedrawer/Invoke.java
src/org/pdfbox/util/operator/pagedrawer/LineTo.java
src/org/pdfbox/util/operator/pagedrawer/MoveTo.java","1.0043363995339865503811c70dd991b57c06b3cf
2.623a0af37723377676f57213cf74b1a909c23272
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.d8915013d5466c6b6a5e2584bcc64e8ce469be7d"
"website/src/documentation/translations/languages_en.xml
website/src/documentation/translations/languages_es.xml
website/src/documentation/translations/menu.xml
website/src/documentation/translations/menu_af.xml","1.0043363995339865503811c70dd991b57c06b3cf
2.5392a1d4ea19beb4aecd0d8d385102d1b408cd44
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.e908d61adf700d1208fb021995babcfee10adcd4"
"website/src/documentation/translations/menu_de.xml
website/src/documentation/translations/menu_es.xml
website/src/documentation/translations/menu_it.xml
website/src/documentation/translations/menu_no.xml","1.0043363995339865503811c70dd991b57c06b3cf
2.5392a1d4ea19beb4aecd0d8d385102d1b408cd44
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.e908d61adf700d1208fb021995babcfee10adcd4"
"website/src/documentation/translations/menu_ru.xml
website/src/documentation/translations/menu_sk.xml
website/src/documentation/translations/tabs.xml
website/src/documentation/translations/tabs_es.xml","1.0043363995339865503811c70dd991b57c06b3cf
2.5392a1d4ea19beb4aecd0d8d385102d1b408cd44
3.d18984f70b1197cbf53e2e3f6472018b26ced7b5
4.e908d61adf700d1208fb021995babcfee10adcd4"
"fontbox/src/org/fontbox/afm/AFMParser.java
fontbox/src/org/fontbox/afm/CharMetric.java
fontbox/src/org/fontbox/afm/Composite.java
fontbox/src/org/fontbox/afm/CompositePart.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/afm/FontMetric.java
fontbox/src/org/fontbox/afm/KernPair.java
fontbox/src/org/fontbox/afm/Ligature.java
fontbox/src/org/fontbox/afm/TrackKern.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/DigitalSignatureTable.java
fontbox/src/org/fontbox/ttf/GlyphData.java
fontbox/src/org/fontbox/ttf/GlyphTable.java
fontbox/src/org/fontbox/ttf/HeaderTable.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/HorizontalHeaderTable.java
fontbox/src/org/fontbox/ttf/HorizontalMetricsTable.java
fontbox/src/org/fontbox/ttf/IndexToLocationTable.java
fontbox/src/org/fontbox/ttf/MaximumProfileTable.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/MemoryTTFDataStream.java
fontbox/src/org/fontbox/ttf/NameRecord.java
fontbox/src/org/fontbox/ttf/NamingTable.java
fontbox/src/org/fontbox/ttf/OS2WindowsMetricsTable.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/org/fontbox/ttf/PostScriptTable.java
fontbox/src/org/fontbox/ttf/RAFDataStream.java
fontbox/src/org/fontbox/ttf/TTFDataStream.java
fontbox/src/org/fontbox/ttf/TTFParser.java","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/src/test/java/org/apache/fontbox/afm/CompositePartTest.java
fontbox/src/test/java/org/apache/fontbox/afm/CompositeTest.java
fontbox/src/test/java/org/apache/fontbox/afm/FontMetricsTest.java
fontbox/src/test/java/org/apache/fontbox/afm/KernPairTest.java","1.1c97814ebf6ad81c7b1fccd77ddcc1857d384e22
2.23d21a8ba7b05e0fd7fe34eb06fadf24d975fa82
3.f7dcf22002f35ebfcdc54e032fa8a1aaccdbda72"
"fontbox/website/src/documentation/content/xdocs/tabs.xml
fontbox/website/src/documentation/sitemap.xmap
fontbox/website/src/documentation/skinconf.xml
fontbox/website/src/documentation/translations/langcode.xml","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
"fontbox/website/src/documentation/translations/languages_en.xml
fontbox/website/src/documentation/translations/languages_es.xml
fontbox/website/src/documentation/translations/menu.xml
fontbox/website/src/documentation/translations/menu_af.xml","1.5a8f776feba3be7cf07ee0b369121403f3bbb348
2.7388792d8bf135b9533fd98c91fe7877c1220b3d
3.c5a3ce4e77947ca0977497474d49dc7fc465ad67"
